audit_order,anchor_index,negative_index,difference_reasons,selection_tier,dct_rank,dct_distance,exact_rms_rank_within_candidates,exact_rms_distance,rank32_rms_distance,common_valid_fraction,anchor_order_swap,negative_order_swap,anchor_future_order,negative_future_order,anchor_gap_change_m,negative_gap_change_m,anchor_distance_change_m,negative_distance_change_m,anchor_scenario_id,negative_scenario_id,stratum_key
11,662,93948,future order differs;future order opposite,1,61,8.256261825561523,77,0.30667996406555176,0.24441199004650116,0.9833333492279053,False,False,second-ahead,first-ahead,-5.795989036560059,0.5930023193359375,5.39660120010376,0.722722053527832,43c01757f7396b4,7a1d6a36c0dab31e,110
12,91783,86964,longitudinal-gap trend opposite;distance trend opposite,2,86,8.037073135375977,98,0.30214422941207886,0.24162888526916504,1.0,False,False,first-ahead,first-ahead,-2.4257965087890625,2.4843482971191406,-2.5638504028320312,2.2664146423339844,95dbaf306fd5d12d,c2e5d761700b3e95,110
13,101506,71279,future order differs;future order opposite;longitudinal-gap trend opposite,1,614,17.448291778564453,711,0.6724602580070496,0.3306301534175873,1.0,False,False,first-ahead,second-ahead,4.110527038574219,-4.258213996887207,3.5688791275024414,3.9243760108947754,cd224ee2784f3cd3,13449e796a504c8b,110
14,90877,23522,order-swap differs;future order differs;future order opposite,1,562,11.678695678710938,565,0.4468633532524109,0.2353922426700592,0.9833333492279053,False,True,first-ahead,second-ahead,-1.8110389709472656,-10.401213645935059,-1.8151378631591797,4.09796667098999,b2645b7523d5b28f,3f1a3d1326c52b05,110
16,109265,90827,order-swap differs,1,91,11.756409645080566,147,0.47691208124160767,0.35768070816993713,0.9333333373069763,False,True,first-ahead,first-ahead,3.6386361122131348,11.236509323120117,-0.2758674621582031,-0.6281204223632812,9239216240a4633b,131f92b9ac2fe4d,120
17,33509,50707,order-swap differs,1,987,15.530730247497559,860,0.6010174751281738,0.27163055539131165,0.949999988079071,False,True,first-ahead,first-ahead,21.44964599609375,21.680871963500977,18.560354232788086,11.895045280456543,8b33915699c4f442,101574c582d5524c,110
18,21441,66660,order-swap differs;longitudinal-gap trend opposite,1,71,18.024810791015625,72,0.6844834685325623,0.5399560332298279,1.0,False,True,first-ahead,first-ahead,-2.100933074951172,11.235410690307617,0.6788825988769531,0.3654165267944336,15051a20f64ccedc,8f77f823d5b11e82,110
19,97167,51751,order-swap differs;distance trend opposite,1,54,17.500843048095703,112,0.6825620532035828,0.5128108859062195,0.8166666626930237,False,True,first-ahead,first-ahead,20.907711029052734,9.95218563079834,13.057865142822266,-4.103217124938965,345d18d8cc2e1593,4a65a1c333ab1cbe,110
20,5434,89558,future order differs;future order opposite;longitudinal-gap trend opposite,1,185,12.94001579284668,222,0.5240811109542847,0.3925294280052185,0.8333333134651184,False,False,first-ahead,second-ahead,8.139907836914062,-2.1694960594177246,7.176822185516357,1.5338642597198486,d2e72d9118a2bcce,27e27486b94eb22,120
21,28151,70602,order-swap differs,1,656,29.416542053222656,836,1.202156901359558,0.5134893655776978,0.800000011920929,False,True,first-ahead,first-ahead,5.405017852783203,15.059850692749023,3.3091354370117188,0.9825468063354492,e9ffe020b09e23e6,8db131cef338d933,110
22,39577,86273,order-swap differs,1,49,23.518924713134766,80,0.8987670540809631,0.6738998889923096,1.0,False,True,first-ahead,first-ahead,9.533202171325684,16.622228622436523,8.37673568725586,7.389626502990723,751340e48b23743c,b2258c547d8968de,120
23,23040,13586,order-swap differs,1,25,29.861125946044922,77,1.3559396266937256,1.0465376377105713,0.8333333134651184,False,True,first-ahead,first-ahead,1.1047818660736084,14.263429641723633,-12.857884407043457,-9.457934379577637,e8b54b15c7217ecf,60a51f2726e5f90b,210
