sample_index,scenario_id,source_path,focus_agent_id,candidate_agent_id,candidate_index,event_step,query_step,lead_steps,relation,response,eligible,delta_arrival_time_s,pet_s,spatial_min_dist_m,num_positives,num_hard_negatives,num_negatives,trainable_anchor
31,101efb88a807fbd7,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/101efb88a807fbd7_focus_596_src2.npz,596,597,2,70,60,10,other_leads_focus,maintains,1,0.20000000298023224,0.20000000298023224,0.5520020723342896,2,1,4,1
32,101efb88a807fbd7,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/101efb88a807fbd7_focus_596_src2.npz,596,597,2,70,50,20,other_leads_focus,maintains,1,0.20000000298023224,0.20000000298023224,0.5520020723342896,2,1,4,1
33,101efb88a807fbd7,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/101efb88a807fbd7_focus_596_src2.npz,596,597,2,70,40,30,other_leads_focus,maintains,1,0.20000000298023224,0.20000000298023224,0.5520020723342896,2,1,4,1
34,101fe378bb5c158c,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/101fe378bb5c158c_focus_69_src4.npz,69,70,10,58,48,10,other_follows_focus,maintains,1,-1.899999976158142,1.899999976158142,0.0856366902589798,2,4,4,1
35,101fe378bb5c158c,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/101fe378bb5c158c_focus_69_src4.npz,69,70,10,58,38,20,other_follows_focus,maintains,1,-1.899999976158142,1.899999976158142,0.0856366902589798,2,4,4,1
36,101fe378bb5c158c,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/101fe378bb5c158c_focus_69_src4.npz,69,70,10,58,28,30,other_follows_focus,maintains,1,-1.899999976158142,1.899999976158142,0.0856366902589798,2,4,4,1
37,101fe378bb5c158c,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/101fe378bb5c158c_focus_69_src4.npz,69,4,16,53,43,10,other_leads_focus,maintains,1,0.800000011920929,0.800000011920929,3.650261402130127,2,4,4,1
38,101fe378bb5c158c,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/101fe378bb5c158c_focus_69_src4.npz,69,4,16,53,33,20,other_leads_focus,maintains,1,0.800000011920929,0.800000011920929,3.650261402130127,2,4,4,1
39,101fe378bb5c158c,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/101fe378bb5c158c_focus_69_src4.npz,69,4,16,53,23,30,other_leads_focus,maintains,1,0.800000011920929,0.800000011920929,3.650261402130127,2,4,4,1
40,101fe378bb5c158c,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/101fe378bb5c158c_focus_69_src4.npz,69,178,26,49,39,10,converging_conflict,ambiguous,0,2.9000000953674316,2.9000000953674316,0.07489731162786484,0,0,0,0
41,101fe378bb5c158c,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/101fe378bb5c158c_focus_69_src4.npz,69,178,26,49,29,20,converging_conflict,ambiguous,0,2.9000000953674316,2.9000000953674316,0.07489731162786484,0,0,0,0
42,101fe378bb5c158c,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/101fe378bb5c158c_focus_69_src4.npz,69,178,26,49,19,30,converging_conflict,ambiguous,0,2.9000000953674316,2.9000000953674316,0.07489731162786484,0,0,0,0
43,10282a5df320b134,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10282a5df320b134_focus_2383_src1.npz,2383,2380,3,54,44,10,other_leads_focus,maintains,1,0.10000000149011612,0.10000000149011612,0.6754582524299622,2,1,4,1
44,10282a5df320b134,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10282a5df320b134_focus_2383_src1.npz,2383,2380,3,54,34,20,other_leads_focus,maintains,1,0.10000000149011612,0.10000000149011612,0.6754582524299622,2,1,4,1
45,10282a5df320b134,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10282a5df320b134_focus_2383_src1.npz,2383,2380,3,54,24,30,other_leads_focus,maintains,1,0.10000000149011612,0.10000000149011612,0.6754582524299622,2,1,4,1
46,102e2851ea7623b7,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/102e2851ea7623b7_focus_1390_src2.npz,1390,1305,1,58,48,10,converging_conflict,goes_first,1,-2.9000000953674316,2.9000000953674316,0.09280841797590256,2,0,4,0
47,102e2851ea7623b7,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/102e2851ea7623b7_focus_1390_src2.npz,1390,1305,1,58,38,20,converging_conflict,goes_first,1,-2.9000000953674316,2.9000000953674316,0.09280841797590256,2,1,4,1
48,102e2851ea7623b7,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/102e2851ea7623b7_focus_1390_src2.npz,1390,1305,1,58,28,30,converging_conflict,goes_first,1,-2.9000000953674316,2.9000000953674316,0.09280841797590256,2,0,4,0
49,103014c1df0d77a,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/103014c1df0d77a_focus_4_src1.npz,4,18,9,40,30,10,other_follows_focus,decelerates,1,0.0,7.699999809265137,11.206782341003418,2,4,4,1
50,103014c1df0d77a,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/103014c1df0d77a_focus_4_src1.npz,4,18,9,40,20,20,other_follows_focus,decelerates,1,0.0,7.699999809265137,11.206782341003418,2,4,4,1
51,1033ea3f2f491328,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1033ea3f2f491328_focus_2749_src1.npz,2749,3319,1,72,62,10,other_follows_focus,maintains,1,-1.7999999523162842,1.7999999523162842,1.1285302639007568,2,4,4,1
52,1033ea3f2f491328,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1033ea3f2f491328_focus_2749_src1.npz,2749,3319,1,72,52,20,other_follows_focus,maintains,1,-1.7999999523162842,1.7999999523162842,1.1285302639007568,2,4,4,1
53,1033ea3f2f491328,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1033ea3f2f491328_focus_2749_src1.npz,2749,3319,1,72,42,30,other_follows_focus,ambiguous,0,-1.7999999523162842,1.7999999523162842,1.1285302639007568,0,0,0,0
54,1033ea3f2f491328,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1033ea3f2f491328_focus_2749_src1.npz,2749,2746,6,73,63,10,other_leads_focus,maintains,1,1.7000000476837158,1.7000000476837158,0.2929481565952301,2,4,4,1
55,1033ea3f2f491328,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1033ea3f2f491328_focus_2749_src1.npz,2749,2746,6,73,53,20,other_leads_focus,maintains,1,1.7000000476837158,1.7000000476837158,0.2929481565952301,2,4,4,1
56,1033ea3f2f491328,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1033ea3f2f491328_focus_2749_src1.npz,2749,2746,6,73,43,30,other_leads_focus,ambiguous,0,1.7000000476837158,1.7000000476837158,0.2929481565952301,0,0,0,0
57,106aa7a7b8a7999,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/106aa7a7b8a7999_focus_765_src0.npz,765,767,1,61,51,10,crossing_or_oncoming_conflict,ambiguous,0,2.9000000953674316,2.9000000953674316,3.6568963527679443,0,0,0,0
58,106aa7a7b8a7999,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/106aa7a7b8a7999_focus_765_src0.npz,765,767,1,61,41,20,crossing_or_oncoming_conflict,ambiguous,0,2.9000000953674316,2.9000000953674316,3.6568963527679443,0,0,0,0
59,106aa7a7b8a7999,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/106aa7a7b8a7999_focus_765_src0.npz,765,767,1,61,31,30,crossing_or_oncoming_conflict,ambiguous,0,2.9000000953674316,2.9000000953674316,3.6568963527679443,0,0,0,0
60,106aa7a7b8a7999,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/106aa7a7b8a7999_focus_765_src0.npz,765,759,8,61,51,10,other_follows_focus,maintains,1,-1.100000023841858,1.100000023841858,3.249480962753296,2,1,4,1
61,106aa7a7b8a7999,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/106aa7a7b8a7999_focus_765_src0.npz,765,759,8,61,41,20,other_follows_focus,maintains,1,-1.100000023841858,1.100000023841858,3.249480962753296,2,0,4,0
62,106aa7a7b8a7999,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/106aa7a7b8a7999_focus_765_src0.npz,765,759,8,61,31,30,other_follows_focus,maintains,1,-1.100000023841858,1.100000023841858,3.249480962753296,2,0,4,0
63,1075fdaf56571d88,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1075fdaf56571d88_focus_853_src2.npz,853,170,1,42,32,10,crossing_or_oncoming_conflict,goes_first,1,-2.5999999046325684,2.5999999046325684,0.07992933690547943,2,4,4,1
64,1075fdaf56571d88,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1075fdaf56571d88_focus_853_src2.npz,853,170,1,42,22,20,crossing_or_oncoming_conflict,goes_first,1,-2.5999999046325684,2.5999999046325684,0.07992933690547943,2,2,4,1
65,107e9b0d29ac7b36,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/107e9b0d29ac7b36_focus_3501_src7.npz,3501,3129,1,49,39,10,other_follows_focus,maintains,1,0.0,3.4000000953674316,0.22606828808784485,2,1,4,1
66,107e9b0d29ac7b36,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/107e9b0d29ac7b36_focus_3501_src7.npz,3501,3129,1,49,29,20,other_follows_focus,maintains,1,0.0,3.4000000953674316,0.22606828808784485,2,1,4,1
67,107e9b0d29ac7b36,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/107e9b0d29ac7b36_focus_3501_src7.npz,3501,3129,1,49,19,30,other_follows_focus,maintains,1,0.0,3.4000000953674316,0.22606828808784485,2,2,4,1
68,10918eec73d23579,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10918eec73d23579_focus_844_src2.npz,844,837,3,38,28,10,other_leads_focus,decelerates,1,0.0,7.0,15.156410217285156,2,4,4,1
69,10918eec73d23579,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10918eec73d23579_focus_844_src2.npz,844,839,5,44,34,10,other_leads_focus,decelerates,1,0.0,7.300000190734863,17.250198364257812,2,4,4,1
70,10918eec73d23579,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10918eec73d23579_focus_844_src2.npz,844,839,5,44,24,20,other_leads_focus,decelerates,1,0.0,7.300000190734863,17.250198364257812,2,4,4,1
71,1093ec9b3fc85cd2,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1093ec9b3fc85cd2_focus_136_src1.npz,136,90,1,50,40,10,other_leads_focus,ambiguous,0,0.0,3.700000047683716,0.13794761896133423,0,0,0,0
72,1093ec9b3fc85cd2,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1093ec9b3fc85cd2_focus_136_src1.npz,136,90,1,50,30,20,other_leads_focus,maintains,1,0.0,3.700000047683716,0.13794761896133423,2,2,4,1
73,1093ec9b3fc85cd2,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1093ec9b3fc85cd2_focus_136_src1.npz,136,90,1,50,20,30,other_leads_focus,maintains,1,0.0,3.700000047683716,0.13794761896133423,2,1,4,1
74,10953df7c750d984,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10953df7c750d984_focus_3142_src0.npz,3142,3146,1,70,60,10,other_leads_focus,decelerates,1,0.6000000238418579,0.6000000238418579,2.91300368309021,2,4,4,1
75,10953df7c750d984,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10953df7c750d984_focus_3142_src0.npz,3142,3146,1,70,50,20,other_leads_focus,decelerates,1,0.6000000238418579,0.6000000238418579,2.91300368309021,2,4,4,1
76,10953df7c750d984,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10953df7c750d984_focus_3142_src0.npz,3142,3146,1,70,40,30,other_leads_focus,decelerates,1,0.6000000238418579,0.6000000238418579,2.91300368309021,2,4,4,1
77,109c6c00d4b7dce3,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/109c6c00d4b7dce3_focus_215_src1.npz,215,216,1,31,21,10,other_follows_focus,decelerates,1,0.0,5.300000190734863,0.21781370043754578,2,4,4,1
78,109f41ee3150f30b,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/109f41ee3150f30b_focus_1999_src1.npz,1999,1997,1,72,62,10,other_follows_focus,maintains,1,-1.7999999523162842,1.7999999523162842,0.8200000524520874,2,4,4,1
79,109f41ee3150f30b,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/109f41ee3150f30b_focus_1999_src1.npz,1999,1997,1,72,52,20,other_follows_focus,maintains,1,-1.7999999523162842,1.7999999523162842,0.8200000524520874,2,4,4,1
80,109f41ee3150f30b,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/109f41ee3150f30b_focus_1999_src1.npz,1999,1997,1,72,42,30,other_follows_focus,ambiguous,0,-1.7999999523162842,1.7999999523162842,0.8200000524520874,0,0,0,0
81,109f41ee3150f30b,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/109f41ee3150f30b_focus_1999_src1.npz,1999,2016,2,65,55,10,other_leads_focus,maintains,1,2.200000047683716,2.200000047683716,0.12827353179454803,0,0,4,0
82,10a2e094e2a399bb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10a2e094e2a399bb_focus_1166_src4.npz,1166,1136,19,45,35,10,other_leads_focus,decelerates,1,0.0,6.300000190734863,18.7236385345459,2,4,4,1
83,10a2e094e2a399bb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10a2e094e2a399bb_focus_1166_src4.npz,1166,1136,19,45,25,20,other_leads_focus,decelerates,1,0.0,6.300000190734863,18.7236385345459,2,4,4,1
84,10c21fd27e46ef69,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10c21fd27e46ef69_focus_2169_src4.npz,2169,2166,8,53,43,10,other_follows_focus,maintains,1,-0.4000000059604645,0.4000000059604645,1.2189147472381592,2,1,4,1
85,10c21fd27e46ef69,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10c21fd27e46ef69_focus_2169_src4.npz,2169,2166,8,53,33,20,other_follows_focus,ambiguous,0,-0.4000000059604645,0.4000000059604645,1.2189147472381592,0,0,0,0
86,10c21fd27e46ef69,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10c21fd27e46ef69_focus_2169_src4.npz,2169,2166,8,53,23,30,other_follows_focus,ambiguous,0,-0.4000000059604645,0.4000000059604645,1.2189147472381592,0,0,0,0
87,10c21fd27e46ef69,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10c21fd27e46ef69_focus_2169_src4.npz,2169,2133,18,75,65,10,other_leads_focus,ambiguous,0,0.0,8.0,16.161237716674805,0,0,0,0
88,10c21fd27e46ef69,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10c21fd27e46ef69_focus_2169_src4.npz,2169,2133,18,75,55,20,other_leads_focus,ambiguous,0,0.0,8.0,16.161237716674805,0,0,0,0
89,10c21fd27e46ef69,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10c21fd27e46ef69_focus_2169_src4.npz,2169,2133,18,75,45,30,other_leads_focus,ambiguous,0,0.0,8.0,16.161237716674805,0,0,0,0
90,10c6f84c58cef875,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10c6f84c58cef875_focus_731_src0.npz,731,733,1,36,26,10,other_follows_focus,decelerates,1,-2.4000000953674316,2.4000000953674316,0.316193550825119,2,4,4,1
91,10c6f84c58cef875,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10c6f84c58cef875_focus_731_src0.npz,731,732,10,65,55,10,other_leads_focus,maintains,1,2.5,2.5,1.774213194847107,2,4,4,1
92,10c6f84c58cef875,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10c6f84c58cef875_focus_731_src0.npz,731,732,10,65,45,20,other_leads_focus,maintains,1,2.5,2.5,1.774213194847107,2,4,4,1
93,10c6f84c58cef875,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10c6f84c58cef875_focus_731_src0.npz,731,732,10,65,35,30,other_leads_focus,ambiguous,0,2.5,2.5,1.774213194847107,0,0,0,0
94,10d199c9de7e282a,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10d199c9de7e282a_focus_1736_src2.npz,1736,1743,1,75,65,10,other_follows_focus,maintains,1,0.0,7.400000095367432,0.43319132924079895,2,4,4,1
